date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:19	6606/6606	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:14:19%20GMT	https://estudiantes.uatf.edu.bo/login	D:/uatf/prueba/estudiantes.uatf.edu.bo/login.html	(from )
16:14:19	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-580507bd74dc0%22	https://estudiantes.uatf.edu.bo/robots.txt		(from )
16:14:19	118771/118771	---M-Z	200	added ('OK')	text/css	etag:%221cff3-580507bb8c940-gzip%22	https://estudiantes.uatf.edu.bo/css/app.css	D:/uatf/prueba/estudiantes.uatf.edu.bo/css/app.css	(from https://estudiantes.uatf.edu.bo/login)
16:14:19	2126/2126	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:14:20%20GMT	https://estudiantes.uatf.edu.bo/enviarPassword	D:/uatf/prueba/estudiantes.uatf.edu.bo/enviarPassword.html	(from https://estudiantes.uatf.edu.bo/login)
16:14:20	284534/284534	---MCZ	200	added ('OK')	application/javascript	etag:%2245776-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/app.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/app.js	(from https://estudiantes.uatf.edu.bo/login)
16:14:20	2336/2336	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:14:21%20GMT	https://estudiantes.uatf.edu.bo/	D:/uatf/prueba/estudiantes.uatf.edu.bo/index.html	(from https://estudiantes.uatf.edu.bo/login)
16:14:20	86708/86708	---M-Z	200	added ('OK')	application/javascript	etag:%22152b4-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/jquery-3.1.1.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/jquery-3.1.1.min.js	(from https://estudiantes.uatf.edu.bo/login)
16:14:20	40802/40802	---M-Z	200	added ('OK')	application/javascript	etag:%229f62-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/sweetalert.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/sweetalert.min.js	(from https://estudiantes.uatf.edu.bo/login)
16:14:20	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Oct%202024%2020:14:21%20GMT	https://estudiantes.uatf.edu.bo/fonts/glyphicons-halflings-regular.eot?f4769f9bdb7466be65088239c12046d1	D:/uatf/prueba/estudiantes.uatf.edu.bo/fonts/glyphicons-halflings-regularab2e.eot	(from https://estudiantes.uatf.edu.bo/css/app.css)
16:14:21	121198/121198	---M-Z	200	added ('OK')	text/css	etag:%221d96e-580507bb8c940-gzip%22	https://estudiantes.uatf.edu.bo/css/bootstrap.min.css	D:/uatf/prueba/estudiantes.uatf.edu.bo/css/bootstrap.min.css	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:21	9583/9583	---M-Z	200	added ('OK')	text/css	etag:%22256f-580507bb8c940-gzip%22	https://estudiantes.uatf.edu.bo/css/bootstrap-datetimepicker.min.css	D:/uatf/prueba/estudiantes.uatf.edu.bo/css/bootstrap-datetimepicker.min.css	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:21	84356/84356	---M-Z	200	added ('OK')	application/javascript	etag:%2214984-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/jquery2_1_3.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/jquery2_1_3.min.js	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:21	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%2290b5-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/bootstrap.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/bootstrap.min.js	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:22	197881/197881	---M-Z	200	added ('OK')	application/javascript	etag:%22304f9-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/moment-with-locales.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/moment-with-locales.min.js	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:22	23081/23081	---M-Z	200	added ('OK')	application/javascript	etag:%225a29-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/bootstrap-datetimepicker.min.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/bootstrap-datetimepicker.min.js	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:22	2972/2972	---M-Z	200	added ('OK')	application/javascript	etag:%22b9c-580507bd74dc0-gzip%22	https://estudiantes.uatf.edu.bo/js/es.js	D:/uatf/prueba/estudiantes.uatf.edu.bo/js/es.js	(from https://estudiantes.uatf.edu.bo/enviarPassword)
16:14:22	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Oct%202024%2020:14:23%20GMT	https://estudiantes.uatf.edu.bo/fonts/glyphicons-halflings-regular.eot	D:/uatf/prueba/estudiantes.uatf.edu.bo/fonts/glyphicons-halflings-regular.eot	(from https://estudiantes.uatf.edu.bo/css/bootstrap.min.css)
